nohup: ignoring input,,,,
Site,TX Name,IP Address,Serial Number,SW/FW/Bios
2008 Black Mountain,TD1-TX Controller-R&amp;S THV9,http://10.15.200.51,110475,22.0.0
2008 Black Mountain,TD1-TX Exciter A-R&amp;S THV9,http://10.15.200.52,105896,22.0.0
2008 Black Mountain,TD1-TX Exciter B-R&amp;S THV9,http://10.15.200.53,110474,22.0.0
2008 Black Mountain,TD6-TX Controlller-R&amp;S THV9,http://10.15.200.61,104648,22.0.0
2008 Black Mountain,TD6-TX Exciter A-R&amp;S THV9,http://10.15.200.64,104646,22.0.0
2008 Black Mountain,TD6-TX Exciter B-R&amp;S THV9,http://10.15.200.63,timed out while connecting to remote host,timed out while connecting to remote host
2008 Black Mountain,TD10-TX Controller- R&amp;S THV9,http://10.15.200.150,115419,23.6.0
2008 Black Mountain,TD10-Exciter A-R&amp;S THV9,http://10.15.200.151,115417,23.6.0
2008 Black Mountain,TD10-Exciter B-R&amp;S THV9,http://10.15.200.152,115418,23.6.0
2040 Gore Hill,TD1-Exciter A-R&amp;S THV9,http://10.12.16.52,110484,20.0.2
2040 Gore Hill,TD1-Exciter B-R&amp;S THV9,http://10.12.16.53,110485,20.0.2
2040 Gore Hill,TD1-TX Controller-R&amp;S THV9,http://10.12.16.51,110486,20.0.2
2040 Gore Hill,TD6-TX-Rohde &amp; Schwarz THV9,http://10.12.16.62,103507,20.0.2
2052 Knights Hill,TD1-TX-R&amp;S THU9,http://10.12.20.58,105515,20.0.2
2052 Knights Hill,TD6-TX-R&amp;S THU9,http://10.12.20.68,106281,20.0.2
2064 Middle Brother,TD1-R&amp;S-THV9-TX-Controller,http://10.12.18.57,110489,19.0.0
2064 Middle Brother,TD1-R&amp;S-THV9-TX-Exciter_A,http://10.12.18.58,NOSUCHOBJECT,NOSUCHOBJECT
2064 Middle Brother,TD1-R&amp;S-THV9-TX-Exciter_B,http://10.12.18.59,NOSUCHOBJECT,NOSUCHOBJECT
2064 Middle Brother,TD6-R&amp;S-THV9-TX-Controller,http://10.12.18.67,110496,19.0.0
2064 Middle Brother,TD6-R&amp;S-THV9-TX-Exciter_A,http://10.12.18.68,NOSUCHOBJECT,NOSUCHOBJECT
2064 Middle Brother,TD6-R&amp;S-THV9-TX-Exciter_B,http://10.12.18.69,NOSUCHOBJECT,NOSUCHOBJECT
2067 Mt Canobalas,TD1-TX-R&amp;S THU9,http://10.12.17.67,110826,21.0.0
2067 Mt Canobalas,TD1-Exciter A-R&amp;S THU9,http://10.12.17.68,101531,21.0.0
2067 Mt Canobalas,TD1-Exciter B-R&amp;S THU9,http://10.12.17.69,101532,21.0.0
2067 Mt Canobalas,TD6-TX-R&amp;S THU9,http://10.12.17.57,110827,20.0.2
2067 Mt Canobalas,TD6-Exciter A-R&amp;S THU9,http://10.12.17.58,101533,21.0.0
2067 Mt Canobalas,TD6-Exciter B-R&amp;S THU9,http://10.12.17.59,101534,21.0.0
2068 Mt Cenn Cruaich,TD1-TX Controller-R&amp;S THV9,http://10.12.22.54,110509,19.0.0
2068 Mt Cenn Cruaich,TD1-TX Exciter A-R&amp;S THV9,http://10.12.22.58,NOSUCHOBJECT,NOSUCHOBJECT
2068 Mt Cenn Cruaich,TD1-TX Exciter B-R&amp;S THV9,http://10.12.22.59,NOSUCHOBJECT,NOSUCHOBJECT
2068 Mt Cenn Cruaich,TD6-TX-THV9,http://10.12.22.70,104722,16.0.0
2069 Mt Dowe,TD6-R&amp;S-THU9-TX-Exciter_A,http://10.12.23.31,101529,21.0.0
2069 Mt Dowe,TD6-R&amp;S-THU9-TX-Exciter_B,http://10.12.23.32,timed out while connecting to remote host,timed out while connecting to remote host
2069 Mt Dowe,TD6-TX Controller-R&amp;S THU9,http://10.12.23.30,110767,20.0.2
2075 Mt Moombil,TD1-R&amp;S-THU9-TX-Exciter_A,http://10.12.19.58,101537,21.0.0
2075 Mt Moombil,TD1-R&amp;S-THU9-TX-Exciter_B,http://10.12.19.59,101540,21.0.0
2075 Mt Moombil,TD1-TX-R&amp;S THU9,http://10.12.19.57,110942,20.0.2
2075 Mt Moombil,TD6-R&amp;S-THU9-TX-Exciter_A,http://10.12.19.63,101539,21.0.0
2075 Mt Moombil,TD6-R&amp;S-THU9-TX-Exciter_B,http://10.12.19.64,101538,21.0.0
2075 Mt Moombil,TD6-TX-R&amp;S THU9,http://10.12.19.62,110943,20.0.2
2076 Mt Nardi,TD1-TX Controller-R&amp;S THU9 ,http://10.12.25.58,105887,20.0.2
2076 Mt Nardi,TD1-TX Controller-R&amp;S THU9 ,http://10.12.25.58,105887,20.0.2
2076 Mt Nardi,TD6-TX Controller-R&amp;S THU9,http://10.12.25.68,105897,20.0.2
2076 Mt Nardi,TD6-TX Controller-R&amp;S THU9,http://10.12.25.68,105897,20.0.2
2079 Mt Sugarloaf,TD1-R&amp;S-THU9-TX-Exciter_A,http://10.12.31.51,106254,23.0.0
2079 Mt Sugarloaf,TD1-R&amp;S-THU9-TX-Exciter_B,http://10.12.31.52,106255,23.0.0
2079 Mt Sugarloaf,TD1-TX Controller-R&amp;S THU9,http://10.12.31.53,106256,23.0.0
2079 Mt Sugarloaf,TD6-R&amp;S-THU9-TX-Exciter_A,http://10.12.31.61,106257,23.0.0
2079 Mt Sugarloaf,TD6-R&amp;S-THU9-TX-Exciter_B,http://10.12.31.62,106258,23.0.0
2079 Mt Sugarloaf,TD6-TX Controller-R&amp;S THU9,http://10.12.31.63,106259,23.0.0
2081 Mt Ulandra,TD1-TX-R&amp;S THU9,http://10.12.24.58,106278,19.0.0
2081 Mt Ulandra,TD6-TX-R&amp;S THU9,http://10.12.24.68,106297,18.0.0
2110 Little Forest Trig,TD1-TX Controller-R&amp;S THU9 (Firefox),http://10.12.33.51,106498,20.0.2
2110 Little Forest Trig,TD1-TX Controller-R&amp;S THU9 (iE),http://10.12.33.51,106498,20.0.2
2110 Little Forest Trig,TD6-TX Controller-R&amp;S THU9 (Firefox),http://10.12.33.61,106500,20.0.2
2110 Little Forest Trig,TD6-TX Controller-R&amp;S THU9 (iE),http://10.12.33.61,106500,20.0.2
2136 Artarmon TXA,TD6-TX-R&amp;S THV9,http://10.65.216.64,106294,22.0.0
2225 Mt Roberts,TD6- Tx Controller-R&amp;S THU9,http://10.49.3.202,104006,16.0.0
2225 Mt Roberts,TD6- Tx Exciter-R&amp;S THU9,http://10.49.3.203,timed out while connecting to remote host,timed out while connecting to remote host
2066 Mt Bingar,TD1-TX-R&amp;S THU9,http://10.49.47.106,102032,16.0.0
2066 Mt Bingar,TD6-TX-R&amp;S THU9,http://10.49.47.99,110941,21.0.0
3013 Goschen,TD1-TX-R&amp;S THU-9,http://10.13.16.52,106115,16.0.0
3013 Goschen,TD6-TX-R&amp;S THU-9,http://10.13.16.62,106118,16.0.0
3017 Lookout Hill,TD1-R&amp;S THV9-TX Controller,http://10.13.22.57,111704,21.0.0
3017 Lookout Hill,TD1-R&amp;S THV9-TX-Exciter A,http://10.13.22.58,101550,21.0.0
3017 Lookout Hill,TD1-R&amp;S THV9-TX-Exciter B,http://10.13.22.59,101551,21.0.0
3017 Lookout Hill,TD6-R&amp;S THV9-TX Controller,http://10.13.22.67,111705,21.0.0
3017 Lookout Hill,TD6-R&amp;S THV9-TX-Exciter A,http://10.13.22.68,101552,21.0.0
3017 Lookout Hill,TD6-R&amp;S THV9-TX-Exciter B,http://10.13.22.69,101553,21.0.0
3017 Lookout Hill,TD10-TX Controller- R&amp;S THU9,http://10.13.22.80,115212,23.0.0
3017 Lookout Hill,TD10-Exciter A-R&amp;S THU9,http://10.13.22.81,102227,23.0.0
3017 Lookout Hill,TD10-Exciter B-R&amp;S THU9,http://10.13.22.82,102228,23.0.0
3026 Mt Alexander,TD1-TX Controller-R&amp;S THV9,http://10.13.23.60,111610,20.0.2
3026 Mt Alexander,TD1-TX Exciter A-R&amp;S THV9,http://10.13.23.61,101583,21.0.0
3026 Mt Alexander,TD1-TX Exciter B-R&amp;S THV9,http://10.13.23.62,101584,21.0.0
3026 Mt Alexander,TD6-TX Controller-R&amp;S THV9,http://10.13.23.70,111824,20.0.2
3026 Mt Alexander,TD6-TX Exciter A-R&amp;S THV9,http://10.13.23.71,101572,21.0.0
3026 Mt Alexander,TD6-TX Exciter B-R&amp;S THV9,http://10.13.23.72,101571,21.0.0
3028 Mt Baranduda,TD1-R&amp;S-THV9-TX-Controller,http://10.13.24.58,111767,20.0.2
3028 Mt Baranduda,TD1-R&amp;S-THV9-TX-Exciter_A,http://10.13.24.59,111765,20.0.0
3028 Mt Baranduda,TD1-R&amp;S-THV9-TX-Exciter_B,http://10.13.24.60,111766,20.0.0
3028 Mt Baranduda,TD6-R&amp;S-THV9-TX-Controller,http://10.13.24.67,111770,20.0.0
3028 Mt Baranduda,TD6-R&amp;S-THV9-TX-Exciter_A,http://10.13.24.68,timed out while connecting to remote host,timed out while connecting to remote host
3028 Mt Baranduda,TD6-R&amp;S-THV9-TX-Exciter_B,http://10.13.24.69,111769,20.0.0
3030 Mt Dandenong,TD1-R&amp;S-THV9-TX-Controller,http://10.13.18.51,111308,22.0.0
3030 Mt Dandenong,TD1-R&amp;S-THV9-TX-Exciter_A,http://10.13.18.52,timed out while connecting to remote host,timed out while connecting to remote host
3030 Mt Dandenong,TD1-R&amp;S-THV9-TX-Exciter_B,http://10.13.18.53,timed out while connecting to remote host,timed out while connecting to remote host
3031 Mt Dundas,TD1-R&amp;S-THV9-TX-Controller,http://10.13.17.57,111761,20.0.0
3031 Mt Dundas,TD1-R&amp;S-THV9-TX-Exciter_A,http://10.13.17.58,timed out while connecting to remote host,timed out while connecting to remote host
3031 Mt Dundas,TD1-R&amp;S-THV9-TX-Exciter_B,http://10.13.17.59,timed out while connecting to remote host,timed out while connecting to remote host
3031 Mt Dundas,TD6-R&amp;S-THV9-TX-Controller,http://10.13.17.67,111764,20.0.0
3031 Mt Dundas,TD6-R&amp;S-THV9-TX-Exciter_A,http://10.13.17.68,111762,20.0.0
3031 Mt Dundas,TD6-R&amp;S-THV9-TX-Exciter_B,http://10.13.17.69,111763,20.0.0
